Telemetry GUID (Device+ParamName),"Device 
(CompClass)",Metric (ParamName),Description,"Category
(ParamClass)",data type,"Device OOB API 
(SMBPBI|NSM|PLDM|SMBIOS)","In-Band API
(NVML,NVSDM)","In-Band CLI 
(nvidia-smi -q -x)","In-Band API 
(DCGM)","OOB API on Hopper-HGX-8-GPU, Blackwell-HGX-8-GPU, HGX B300 NVL8
(Redfish URI and Field. N/A for NvSwitch Tray)","OOB API on GH200 NVL/GB200 NVL/GB300 NVL/MGX-4U-NVL16
(Redfish URI and Field. N/A for NvSwitch Tray)","OOB API on GH200/C2
(Redfish URI and Field. N/A for NvSwitch Tray)","MRD URI on Hopper-HGX-8-GPU/Blackwell-HGX-8-GPU/GH200/GB200/HGX B300 NVL8/GB300/MGX-4U-NVL16
(N/A for NvSwitch Tray)","MRD URI on GH200/C2
(N/A for NvSwitch Tray)",Dbus Commands,shmem,NVOS CLI (applicable for MultiNode),NVOS gNMI(applicable for MultiNode),NMX-T(applicable for MultiNode),"Applicable for 
Hopper-HGX-8-GPU","Applicable for 
Blackwell-HGX-8-GPU","Applicable for 
HGX B300","Applicable for 
GH200 NVL","Applicable for 
GB200 NVL HMC","Applicable for 
GB200 NVL BMC","Applicable for 
GB300 NVL HMC","Applicable for 
GB300 NVL BMC","Applicable for
GB200 NVL NvswitchTray","Applicable for 
MGX-GH200","Applicable for 
MGX C2","Applicable for 
MGX-GH200-NVL2","Applicable for 
GH200","Applicable for 
Multi-Socket-GH200","Applicable for 
C2","Applicable for 
MGX-4U-NVL16",Applicable for DC-Blackwell-PCIe,"Applicable for PowerShelfController
","Availability
(IB/OOB/BOTH/NONE)","OOB path 
driver dependency","Confidential Compute /
Protected PCIe Mode Impact","Recommended
Poll Freq","HMC Refresh Interval in Seconds
(BW Gen onwards)","OOB API - Wildcards
(Redfish URI and Field. N/A for NvSwitch Tray)",URI Search Domain,URI Match Criteria for Search Domain,Reference Baseboard Definition for Search Domain,"Conversion Formula
(DCGM --> RF)",MVP,Availability Milestone,NVOS CLI availabilty Milestone,gNMI availabilty Milestone,nmx-t availabilty Milestone,"Compliance
Level","SwitchTray Compliance
Level",Cross Validation Scope
GPU-DRVR-VER,GPU,DRVR-VER,Default graphics clock frequency at which applications will be running,Config,string,NA,nvmlDeviceGetDefaultApplicationsClock,nvidia_smi_log.gpu.default_applications_clocks.graphics_clock,NA,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory_software/HGX_Driver_GPU_$gpuid xyz.openbmc_project.Software.Version Version,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,No Impact,1 Hr,,NA,NA,,,,,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-DRVR-VERSION,GPU,DRVR-VERSION,Driver Version,Config,string,"
SMBPBI:  (0x27, [0x00], <Offset to requested data in increments of 8 bytes>)  | NSM: (0x3, 0x0E)",nvmlSystemGetDriverVersion,nvidia_smi_log.driver_version,DCGM_FI_DRIVER_VERSION:1,"2022.1e
/redfish/v1/UpdateService/SoftwareInventory/HGX_Driver_GPU_SXM_{InstanceId}
{Version}","2022.1e
/redfish/v1/UpdateService/SoftwareInventory/HGX_Driver_GPU_{InstanceId}
{Version}","2022.1e
/redfish/v1/UpdateService/SoftwareInventory/Driver_GPU_{InstanceId}
{Version}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory_software/HGX_Driver_GPU_$gpuid xyz.openbmc_project.Software.Version Version,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,Yes,No Impact,1 Hr,30,"2022.1e
/redfish/v1/UpdateService/SoftwareInventory/{GPU_DRIVER_FW_NAME}_{InstanceId}
{Version}","2022.1e
/redfish/v1/UpdateService/SoftwareInventory/$SwId
{Version}","{SwId: {Id_contains: {anyOf: [GPU], not: [RoT]}}}",,,Y,ES Factory,,,,"L0, R1","L1, R1",RF:DCGM
GPU-ENFORCED-CLK-LIMIT-MAX,GPU,ENFORCED-CLK-LIMIT-MAX,SMUtilizationPercent,Config,Uint64,"SMBPBI: (0x10, [0x0D], Unused): enforcedMax | NSM: (0x3, 0x11)",NA,NA,NA,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}
{SpeedLimitMHz}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}
{SpeedLimitMHz}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}
{SpeedLimitMHz}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.Inventory.Item.Cpu.OperatingConfig SpeedConfig,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,Yes,No Impact,1 Hr,30,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}
{SpeedLimitMHz}","2021.1c
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId
{SpeedLimitMHz}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,,ES,,,,"L0, R1","L1, R1",NA
GPU-FW-VER,GPU,FW-VER,Firmware Version,Config,string,"SMBPBI: (0x05, [0x08], [0x00-0x03]) | NSM: (0x3, 0xC)",nvmlDeviceGetVbiosVersion,nvidia_smi_log.gpu.vbios_version,DCGM_FI_DEV_VBIOS_VERSION:85,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}
{FirmwareVersion}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}
{FirmwareVersion}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}
{FirmwareVersion}",,,busctl get-property  xyz.openbmc_project.PLDM /xyz/openbmc_project/software/HGX_FW_GPU_$gpuid xyz.openbmc_project.Software.Version Version,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,No Impact,1 Hr,,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}
{FirmwareVersion}","2021.1c
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId
{FirmwareVersion}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES Factory,,,,"L0, R1","L1, R1",RF:DCGM
GPU-FW-WP-MODE,GPU,FW-WP-MODE,"write-protect mode for the GPU firmware. If the NVIDIA GPU has write-protect mode enabled, then this setting is used in conjunction with in-band GPU firmware update. During normal operation, the write-protect mode should be enabled to prevent tampering or corruption of the GPU firmware. Write-protect mode is required to be disabled during an in-
band GPU firmware update process to allow write access to the NVIDIA GPU EEPROM.",Config,Uint64,"SMBPBI: (0xB4, [0xFE-0xFF], Unused) | NSM: (0X5, 0X64)",NA,NA,NA,"2022.1e
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_GPU_SXM_{InstanceId}
{WriteProtected}","2022.1e
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_GPU_{InstanceId}
{WriteProtected}","2022.1e
/redfish/v1/UpdateService/FirmwareInventory/FW_GPU_{InstanceId}
{WriteProtected}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/software/HGX_FW_GPU_$gpuid xyz.openbmc_project.Software.Settings WriteProtected,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,No,No Impact,1 Hr,30,"2022.1e
/redfish/v1/UpdateService/FirmwareInventory/{GPU_FW_NAME}_{InstanceId}
{WriteProtected}","2022.1e
/redfish/v1/UpdateService/FirmwareInventory/$FwId
{WriteProtected}","{FwId: {Id_contains: {anyOf: [GPU], not: [InfoROM, RoT]}}}",,,,ES,,,,"L0, R1","L1, R1",NA
GPU-INFOROM-VER,GPU,INFOROM-VER,InfoROM Version,Config,string,"SMBPBI: (0x05, [0x0E], [0x00-0x03]) | NSM: (0X5, 0X02)",nvmlDeviceGetInforomImageVersion,nvidia_smi_log.gpu.inforom_version.img_version,DCGM_FI_DEV_INFOROM_IMAGE_VER:82,"2021.1c
/redfish/v1/UpdateService/FirmwareInventory/HGX_InfoROM_GPU_SXM_{InstanceId}
{Version}","2021.1c
/redfish/v1/UpdateService/FirmwareInventory/HGX_InfoROM_GPU_{InstanceId}
{Version}","2021.1c
/redfish/v1/UpdateService/FirmwareInventory/InfoROM_GPU_{InstanceId}
{Version}",,,busctl get-property  xyz.openbmc_project.PLDM /xyz/openbmc_project/software/HGX_InfoROM_GPU_$gpuid xyz.openbmc_project.Software.Version Version,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,No Impact,1 Hr,,"2021.1c
/redfish/v1/UpdateService/FirmwareInventory/{GPU_INFOROM_FW_NAME}_{InstanceId}
{Version}","2021.1c
/redfish/v1/UpdateService/FirmwareInventory/$FwId
{Version}","{FwId: {Id_contains: {allOf: [GPU, InfoROM], not: [RoT]}}}",,,Y,ES Factory,,,,"L0, R1","L1, R1",Not Supported
GPU-PWR-LIMIT-REQUESTED,GPU,PWR-LIMIT-REQUESTED,"Currently arbitrated total GPU power limit value after taking into account limits, requested by all clients, measured in milliwatts.",Config,Uint64,"SMBPBI: (0x10,[0x00],Unused): limitCurrOutput | NSM: (0x3, 0x7)",nvmlDeviceGetEnforcedPowerLimit,nvidia_smi_log.gpu.gpu_power_readings.current_power_limit,DCGM_FI_DEV_ENFORCED_POWER_LIMIT:164,"2021.1e
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/EnvironmentMetrics
{PowerLimitWatts{SetPoint}}","2021.1e
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/EnvironmentMetrics
{PowerLimitWatts{SetPoint}}","2021.1e
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/EnvironmentMetrics
{PowerLimitWatts{SetPoint}}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.Control.Power.Cap PowerCap,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,Yes,No Impact,1 Hr,30,"2021.1e
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/EnvironmentMetrics
{PowerLimitWatts{SetPoint}}","2021.1e
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/EnvironmentMetrics
{PowerLimitWatts{SetPoint}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",RF:DCGM
GPU-PWR-LIMIT-ENFORCED,GPU,PWR-LIMIT-ENFORCED,ECC Enable/Disable State,Config,Uint64,"SMBPBI: (0x18, [0x00], Unused) | NSM: (0x3, 0x4F)","nvmlDeviceGetEccMode, *current",nvidia_smi_log.gpu.ecc_mode.current_ecc,DCGM_FI_DEV_ECC_CURRENT:300,"2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}
{MemorySummary{ECCModeEnabled}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}
{MemorySummary{ECCModeEnabled}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}
{MemorySummary{ECCModeEnabled}}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.Control.Power.Cap PowerCap,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available,No,No Impact,1 Hr,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}
{MemorySummary{ECCModeEnabled}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId
{MemorySummary{ECCModeEnabled}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,Y,ES,,,,"L0, R1","L1, R1",RF:DCGM
GPU-ECC-MODE,GPU,ECC-MODE,The supported mode of virtualization,Config,Uint64,NA,nvmlDeviceGetVirtualizationMode,nvidia_smi_log.gpu.gpu_virtualization_mode.virtualization_mode,DCGM_FI_DEV_VIRTUAL_MODE:500,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.Memory.MemoryECC ECCModeEnabled,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,No Impact,1 Hr,,NA,NA,,,,,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-CLK-LOCKED-STATE,GPU,CLK-LOCKED-STATE,"The operation mode for GPU, e.g., full speed, low power",Config,Uint64,NA,nvmlDeviceGetGpuOperationMode,nvidia_smi_log.gpu.gpu_operation_mode.current_gom,NA,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.Inventory.Item.Cpu.OperatingConfig SpeedLocked,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,No Impact,1 Hr,,NA,NA,,,,,ES Factory,,,,"L0, R1","L1, R1",NA
